Date,Open,High,Low,Close,Adj Close,Volume,SMA_7,SMA_14,EMA_7,EMA_14,RSI,MACD,Signal Line,Bollinger_SMA,Upper_Band_BB,Lower_Band_BB,ATR,%K,%D,OBV,aggregated_sentiment
2017-01-08,908.1749877929688,942.7239990234376,887.2490234375,911.198974609375,911.198974609375,158715008,993.6692766462054,976.3726370675224,958.3567954673504,954.5440052332306,51.36648127876991,39.00775614459485,51.50879869163832,944.2951446533204,1103.1901945683626,785.4000947382781,69.76886422293526,23.84556879624832,19.69404310344188,1865537512,0.0
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,907.6790161132812,115808000,957.2288556780134,974.2082824707032,935.2757020280212,942.3192686399392,47.57261239025889,25.901843878557656,43.20911293437207,953.062646484375,1089.7736283325935,816.3516646361563,69.40443202427456,22.88787148114198,22.76715533236796,1839468520,0.4210526315789473
2017-01-11,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,777.7570190429688,310928992,903.3755754743304,960.0537109375,895.8960312817582,920.377635360343,33.832480037335415,10.743320548713656,36.71595445724039,948.7234985351564,1101.7946727154333,795.6523243548793,77.54442923409599,3.500065547233907,15.98532091602982,1528539528,0.3492063492063492
2017-01-12,775.177978515625,826.2459716796875,755.7559814453125,804.833984375,804.833984375,222326000,873.5832868303571,948.006352015904,873.1305195550686,904.971815228964,36.77150592788763,0.9045394415766168,29.55367145410764,942.8659973144532,1108.6808663675886,777.0511282613178,80.80128696986607,11.27338463151838,12.553773886631424,1750865528,1.3333333333333333
2017-01-13,803.7369995117188,829.0009765625,780.0029907226562,823.9840087890625,823.9840087890625,168968000,862.4094325474331,938.2024972098214,860.8438918635671,894.1734410369771,39.35008479605141,-5.286578161372631,22.585621531011583,939.1240966796876,1112.336610070722,765.9115832886531,81.5394287109375,15.672210542018172,10.148553573590156,1919833528,0.4666666666666667
2017-01-14,825.1420288085938,835.0850219726562,812.4559936523438,818.4119873046875,818.4119873046875,93063296,849.527570452009,927.8217119489398,850.2359157238473,884.0719138726718,38.77678360585731,-10.52141471330458,15.964214282148356,935.235546875,1115.8411293647212,754.6299643852788,81.97671944754464,14.392298206171148,13.7792977932359,1826770232,0.7407407407407407
2017-01-15,818.1420288085938,823.3070068359375,812.8709716796875,821.7979736328125,821.7979736328125,71013600,836.7559988839286,915.2126377650668,843.1264302010886,875.7687218406905,35.67757330303732,-14.232773048747845,9.924816815969114,930.9449462890624,1118.2662375910588,743.6236549870661,79.5520760672433,15.170070812132783,15.078193186774037,1897783832,0.1666666666666666
2017-01-16,821.7830200195312,834.530029296875,820.27099609375,831.5339965820312,831.5339965820312,82755200,826.5711408342634,901.6257803780692,840.2283217963243,869.8707584728693,34.216324696210364,-16.20167278514043,4.699518895747206,925.8617462158204,1118.3713203051236,733.352172126517,78.09286499023438,17.40646848391824,15.65627916740739,1980539032,0.4761904761904761
2017-01-17,830.9459838867188,910.5609741210938,830.7960205078125,907.93798828125,907.93798828125,155095008,826.608136858259,891.9184962681362,857.1557384175558,874.9463891139868,39.65558861296994,-11.464718280266425,1.4666714605444793,922.4625946044922,1113.6466844917188,731.2785047172657,82.18464878627232,34.9567259188557,22.511088404968906,2135634040,1.0
2017-01-18,909.3729858398438,917.4990234375,858.3040161132812,886.6179809570312,886.6179809570312,225676992,842.1597028459821,872.7676391601562,864.5212990524246,876.5026013597261,26.37013503634519,-9.323518403105936,-0.6913665121856039,918.1186431884764,1108.3660547578245,727.8712316191287,78.15714372907367,30.059447534137256,27.4742139789704,1909957048,0.7945205479452054
